basis_order,basis_field_order,ω,R,particle_radius,c_particle,ρ_particle,separation_ratio,volume_fraction,μ,σ,nb_iterations,μeff,μeff0
10,4,0.05,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.0006168966735801154 - 0.02359364848969153im,-0.0014379575856643375 + 0.02768309243012652im,-2.7892556721077628e-5 + 0.0037329895153029495im,-1.9053592041523327e-7 + 0.0001454001473123573im,1.8361980816778784e-9 + 2.8924958096821463e-6im","0.0005569676612920746 + 0.00688039979982668im,0.03143276167063697 + 0.015611210548729906im,0.0018294916174782273 + 0.0014058251777394329im,5.053873546145397e-5 + 0.00020290763535004802im,8.60890428173523e-7 + 1.288499131048836e-6im","400,5000,5000,5000,5000","-0.0006136726240067042 - 0.02352348889181244im,-0.0007945139033206586 + 0.027197534655342973im,-1.9523445626124125e-5 + 0.003658508179783942im,-2.5387406446274586e-7 + 0.0001460244653667362im,-4.56482052209981e-9 + 2.8512026917271613e-6im","-0.0009885284278649549 - 0.030675425863579606im,-1.9441079775179795e-5 - 0.0037172483144868092im,-2.4356649281955343e-7 - 0.00014604982871958583im,-4.298128632567976e-9 - 2.814312872312135e-6im,-4.9205799966037e-11 - 3.225535834466679e-8im"
10,4,0.065,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.0007978305601775257 - 0.025458419389400605im,-0.0013025506247716333 + 0.03597493156177628im,-0.00011543119755863682 + 0.009346723279322339im,-2.928750031483194e-6 + 0.0006562278510597224im,-6.920859029372443e-8 + 2.2118119177081734e-5im","0.00162653263532798 + 0.006952426494538539im,0.00189228845257024 + 0.004337797246753886im,0.0005761718304905606 + 0.0015131580006134497im,4.97010062586078e-5 + 0.0001475582394031547im,1.258066195830894e-6 + 5.59466140285138e-6im","1600,1000,5000,5000,5000","-0.000839136497781805 - 0.025761915168715073im,-0.0013744167085810515 + 0.03506426037059558im,-0.00011182430501212419 + 0.009167299873342027im,-2.2048582164295023e-6 + 0.0006440313019454465im,-5.824290832694515e-8 + 2.1690755368404423e-5im","-0.0021115339869841646 - 0.04463167794067454im,-0.00011411718935694444 - 0.00948881737215313im,-2.0806436008537675e-6 - 0.0006487515370523809im,-5.566226776922282e-8 - 2.1500905905764013e-5im,-1.0827057404840958e-9 - 4.2112095918372186e-7im"
10,4,0.08,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.0006990518627601625 - 0.016114004427058067im,-0.0017606972557188388 + 0.03820619646531377im,-0.00042151877154407327 + 0.018256935802596352im,-1.3939857664064706e-5 + 0.0020629795771894013im,-5.273072071988131e-7 + 0.00010790973086410421im","0.0004709231354005974 + 0.009477933665104422im,0.0006024904491207181 + 0.006649022994268154im,0.00011140689748617396 + 0.0021795591194898115im,8.545551681473496e-6 + 0.0003974713811927252im,3.8815952213164556e-7 + 2.6022708560713093e-5im","200,200,200,200,400","-0.0007029314822319362 - 0.01715190651324907im,-0.0016826318776473588 + 0.03714577549427576im,-0.00040312573572572866 + 0.01773113270105463im,-1.2755946266838984e-5 + 0.0019959999524317906im,-4.4507683987019896e-7 + 0.00010453737536509962im","-0.0034083685675210733 - 0.05634484032042518im,-0.0004310984329628278 - 0.01893967913059542im,-1.1938764171741976e-5 - 0.002030717964982603im,-4.145273660505128e-7 - 0.00010428036458828034im,-1.2184484975227414e-8 - 3.1384849992549192e-6im"
10,4,0.095,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.0009599567247765213 + 0.005608021632761791im,-0.0017919334361174788 + 0.03433261690509293im,-0.0010758524086027543 + 0.029079886513810285im,-5.9767513979069875e-5 + 0.00495605020589597im,-2.7416035004838093e-6 + 0.00037615645040154055im","0.0007919258866964225 + 0.015421852401903677im,0.0008007473573152037 + 0.009917433461355957im,0.0002520234486820606 + 0.0032503719139390236im,2.455239167145518e-5 + 0.000927228294725627im,1.5656196503177888e-6 + 9.073867442624698e-5im","3000,200,200,200,200","-0.0008297641831722506 + 0.004196324621180199im,-0.001665829937187161 + 0.0334120634617245im,-0.0010324630321051384 + 0.02844192142535089im,-5.546776229439576e-5 + 0.004865121115062679im,-2.3784456381781977e-6 + 0.0003712571793136217im","-0.004492698869522813 - 0.06412771255842226im,-0.0011854288040735455 - 0.03183884957511286im,-5.197022889703845e-5 - 0.0050031698966426005im,-2.1612293804795913e-6 - 0.0003724395607852629im,-8.792694587269752e-8 - 1.6088677599353684e-5im"
10,4,0.11,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.0028495430223553814 + 0.03709301876415161im,-0.001755168042012066 + 0.0277351373977308im,-0.002088147772217527 + 0.04002818568894667im,-0.00020321112332239555 + 0.010122470643417205im,-1.125718685740147e-5 + 0.0010825310763222893im","0.0018307985738955119 + 0.020650827829023038im,0.0009067496247809909 + 0.012676479704608562im,0.0004354584682880564 + 0.0038488944923915393im,7.027021042666073e-5 + 0.0017496486809269324im,5.8610264223423925e-6 + 0.00024881965197604336im","200,200,200,200,200","-0.002690511212048601 + 0.035709607945060014im,-0.001610389027108144 + 0.02633559193932572im,-0.002019564460776516 + 0.03933240309054765im,-0.00019109667928690112 + 0.009919171991481736im,-9.9898414980147e-6 + 0.0010567144871036409im","-0.005090720583532878 - 0.06746610658145522im,-0.002544425769601807 - 0.0469182600098003im,-0.0001799668695824756 - 0.010301688376565756im,-8.820044986114479e-6 - 0.0010617348904628158im,-4.6140602756469684e-7 - 6.28122895351238e-5im"
10,4,0.125,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.007531590495031878 + 0.07176409540885748im,-0.0022496057304193127 + 0.02300496505669533im,-0.003432933517418898 + 0.049603257354191646im,-0.0005824167540159095 + 0.01795151449364937im,-4.201723637369171e-5 + 0.002594778347981826im","0.004181326380259145 + 0.026528634357162666im,0.0012383289890642796 + 0.01646167139079445im,0.0007059771113057196 + 0.004597180347654663im,0.0001809041072445765 + 0.002551314186781048im,1.8044678207544407e-5 + 0.0004974005451842071im","200,200,200,200,200","-0.0071542867891039395 + 0.07025835230815154im,-0.0018599963809074658 + 0.020136729830024444im,-0.0031808111464977713 + 0.048047036351863345im,-0.0005364766523192743 + 0.017547047263647163im,-3.518578201747847e-5 + 0.002537431746421063im","-0.005289775777033529 - 0.06777192376711486im,-0.004510309199231791 - 0.06251172529047593im,-0.0005131009815736251 - 0.018513998441479974im,-3.028275993723261e-5 - 0.0025542249708163825im,-1.9146884130578615e-6 - 0.00020005902790081167im"
10,4,0.14,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.013373608950519362 + 0.09983519451445477im,-0.0030180049154219435 + 0.02106305116444628im,-0.004592340340221368 + 0.05400109487585172im,-0.0013584455430983736 + 0.028197867506186466im,-0.000129168366637882 + 0.005461171889868738im","0.006296901817430837 + 0.028850929009856165im,0.0015846652437081447 + 0.0183347123209365im,0.0011385776815021305 + 0.006401447764447404im,0.0004148756560030219 + 0.004214953218867423im,5.648843529607817e-5 + 0.0011791167835216903im","200,400,200,200,200","-0.012997656569163477 + 0.09990765090620839im,-0.002509486016618235 + 0.020321666264363356im,-0.004179701230771877 + 0.053455549277264335im,-0.0011464495989772052 + 0.02826029289014678im,2.3131634825161164e-5 + 0.005970501461052877im","-0.005477722965985559 - 0.06791047231699106im,-0.006955560296446665 - 0.07743430685739458im,-0.0012519969441243516 - 0.030108561535895303im,-9.195677720598633e-5 - 0.005417857414877153im,-6.693516881466194e-6 - 0.0005478358230171724im"
10,4,0.155,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.019273499728278593 + 0.12135168420347792im,-0.004541492458350471 + 0.029650171297774572im,-0.005424359046406389 + 0.05534772744549355im,-0.0026021350717986024 + 0.04003421295150236im,-0.00032277551620743403 + 0.010153113012343841im","0.008293069046239308 + 0.031227369465297933im,0.002177007223850729 + 0.020155822809292685im,0.0014921505616165447 + 0.008363318120735463im,0.0007783801659902305 + 0.005678328433809256im,0.00012544017868261527 + 0.0021542090626862154im","200,200,200,200,200","-0.017641399848495026 + 0.1159392374036359im,-0.0041591142285265 + 0.028903127668148502im,-0.005068239985678178 + 0.05328418743722597im,-0.0024691732771687513 + 0.03901372399867727im,-0.00029190546269543694 + 0.00992903500753934im","-0.005891860648933304 - 0.06945231754996853im,-0.009373892203387479 - 0.08935027437891517im,-0.002620223256362525 - 0.04463110496604481im,-0.00024904227029983996 - 0.010256680593047294im,-2.0363408956066576e-5 - 0.0013129765066034246im"
10,4,0.17,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.02134189871602365 + 0.1252316300647418im,-0.007881063114056097 + 0.05076736032139709im,-0.0064840255549987215 + 0.053929707588207663im,-0.004521034072227557 + 0.05182114498505807im,-0.0007852258310419542 + 0.01713495088276991im","0.009034545856672127 + 0.03072817021752343im,0.003355965360621436 + 0.022974245166078933im,0.0020815442032695248 + 0.01030780210248143im,0.0012795071103422397 + 0.006050435816244786im,0.0002920821227625978 + 0.0030259129868114533im","200,200,200,200,200","-0.01941700688422295 + 0.11936996492046736im,-0.007226895786282968 + 0.04939668490355428im,-0.005821145633830927 + 0.05075093348861466im,-0.004189913272791873 + 0.050356084593388396im,-0.0007037552200078968 + 0.016806074090872945im","-0.00688695120317308 - 0.07438616548022908im,-0.011337319114606751 - 0.09737511980374175im,-0.0048023160532670575 - 0.06127677117143445im,-0.000607591361564949 - 0.017673982897227304im,-5.567458450802796e-5 - 0.002819628391018009im"
10,4,0.185,20.0,1.0,Inf + 0.0im,Inf,1.001,0.05,"-0.01973808525263976 + 0.11558853269770769im,-0.01381110451367429 + 0.08226814011302461im,-0.007599080076479981 + 0.050025341626151285im,-0.0068466834697466705 + 0.06173472759552934im,-0.001677125663410683 + 0.0266908338489927im","0.009593110711255192 + 0.036053527582580076im,0.006197108686024163 + 0.029109764814907936im,0.002675828878051484 + 0.013834824894740834im,0.0017555720262828064 + 0.006935133215099282im,0.0006120533684478794 + 0.0049666380638654995im","200,200,200,200,200","-0.018683378864461222 + 0.11198961483067298im,-0.01281033245078606 + 0.07865553610589905im,-0.006861114583537914 + 0.04799359743725435im,-0.006242571313164503 + 0.05985846322237462im,-0.0015138859828723792 + 0.02605042499104377im","-0.008585959118212924 - 0.08259871717225273im,-0.012379081022485914 - 0.10046634180452958im,-0.007695061233934572 - 0.07799807931908813im,-0.0013216334567315883 - 0.02782650220493996im,-0.00013841317451924917 - 0.0054595250480269164im"
