basis_order,basis_field_order,ω,R,particle_radius,c_particle,ρ_particle,separation_ratio,volume_fraction,μ,σ,nb_iterations,μeff,μeff0
5,4,0.1,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.2635791979946095 + 0.3196613141443062im,-0.7898760724126462 - 0.21407204536999175im,-0.24571756225661773 - 0.3648428613437019im,-0.05480328179369424 - 0.07682978858010306im,-0.002918328115430191 - 0.00714785033007431im","0.12046566231938025 + 0.10305909849787694im,0.11324889908681143 + 0.11454688137951193im,0.056730036604164 + 0.05561842006077406im,0.051033519008006484 + 0.050574650082350237im,0.003700572124468165 + 0.0036244274688567992im","400,600,200,1400,2600","-0.3263740117171725 + 0.3291413695160524im,-0.815182031376192 - 0.19717730340194012im,-0.23229158607076777 - 0.3200191184453852im,-0.03992687029079718 - 0.080922810682336im,-0.005352722964898063 - 0.006074320437466967im","-0.34290817305986987 + 0.30070945885476513im,-0.7991249388811311 - 0.21221478022382673im,-0.24380433767846404 - 0.30671189332877774im,-0.03940885662532688 - 0.07160345654924653im,-0.005158040275385688 - 0.006540324322199489im"
5,4,0.2,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.8833068702834421 - 0.2638777332740118im,-0.05779669667979885 + 0.15213418186451882im,-0.9180167932486566 + 0.2133924933273601im,-0.6366027654283772 - 0.4555118195723895im,-0.1394222742373372 - 0.3239013267809937im","0.04168929885599251 + 0.049038323983703704im,0.035765227796405674 + 0.050767310576437914im,0.03371789842164612 + 0.044239880252886346im,0.03602772170426245 + 0.027027548020116095im,0.020681776111350435 + 0.02107441829534943im","200,600,200,200,200","-0.8080843406045987 - 0.16026029524854837im,-0.15712816863779772 + 0.07623842734330903im,-0.8054661751830117 + 0.19811041378207608im,-0.6391828772527942 - 0.3625846314697233im,-0.19430906452742647 - 0.2967068847046579im","-0.7645778460423561 - 0.18562234369262684im,-0.1915705944399689 + 0.11170664433671455im,-0.8080968414832815 + 0.15195340466016624im,-0.600029788394958 - 0.35885746859646966im,-0.18375565492164797 - 0.2718355530714196im"
5,4,0.3,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.0807954679171962 + 0.11345341973574624im,-0.9331950015774076 - 0.03781602752466028im,-0.11075058100518179 - 0.20511919011852625im,-0.5620581814408204 + 0.442465558085504im,-0.9286456747542775 - 0.1564674035547534im","0.04318934633651763 + 0.06507177314601342im,0.03490938072557935 + 0.06638202493882997im,0.029931240820923515 + 0.0643943388765275im,0.05668992185123463 + 0.028116562646688093im,0.02836128883550385 + 0.044657645083469755im","600,3000,200,200,200","-0.18744325404358603 - 0.04871661699514091im,-0.801080085101643 + 0.10364718869386802im,-0.2894790569965574 - 0.24764718228933916im,-0.4328106682178737 + 0.3304421730559277im,-0.8557242013841493 - 0.025341655451668495im","-0.22197596053361116 + 0.026830101019531285im,-0.7809862948955634 + 0.023360531694636144im,-0.264700644443172 - 0.1698833281825187im,-0.507457032862949 + 0.3051238752114802im,-0.8172891439933098 - 0.087198899175859im"
5,4,0.4,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.8542613193692296 + 0.02684640908135924im,-0.1501296128351945 - 0.07922303257914524im,-0.7916130355485407 + 0.21471308913466228im,-0.4165806029307767 - 0.36219257015409184im,-0.2240627009532238 + 0.26903118131330506im","0.05179741140303394 + 0.08120310317245467im,0.047897886057852765 + 0.08077174771891993im,0.04848237264747442 + 0.07837651043078465im,0.07109381098927128 + 0.052114812860517626im,0.0648986950556849 + 0.04526995684157116im","3000,1600,400,200,200","-0.6963079555022607 + 0.20969947432769107im,-0.332572369532472 - 0.23514717045828473im,-0.5628555784760183 + 0.28622951704547167im,-0.6336085971808587 - 0.26951179102375844im,-0.19095080219199864 + 0.04697607613438848im","-0.7161185770592251 + 0.09712720869201694im,-0.29749974729526213 - 0.12619876337378397im,-0.6389087402425788 + 0.20029166677000246im,-0.5202302174533475 - 0.2520301568684545im,-0.2674228469027516 + 0.13072531362083556im"
5,4,0.5,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.27351498490582415 - 0.11506595682314141im,-0.7180455003888877 + 0.13903280099866527im,-0.3348008992863909 - 0.20684975019406174im,-0.5253606711524668 + 0.27479274114892055im,-0.6945553772130387 - 0.2174193376442405im","0.06559108651439954 + 0.08852203424357166im,0.06406749596454976 + 0.08643937368771634im,0.06936256182613489 + 0.07347374252921964im,0.07688781344651822 + 0.05710354969807804im,0.07025854442933882 + 0.05540533057776772im","1000,600,200,200,200","-0.28667605676124186 - 0.3275000670291925im,-0.6757496172653741 + 0.34960386918664277im,-0.4491357500370511 - 0.3893470386565361im,-0.333808542278851 + 0.3583987800152054im,-0.8761517607377023 - 0.1324663377984281im","-0.3838065565006988 - 0.15897171991576023im,-0.5989477335420821 + 0.17153697103981033im,-0.46035357138077676 - 0.19752762348316058im,-0.42924024535917976 + 0.19502096039038416im,-0.6950190308340921 - 0.09391780693802347im"
5,4,0.6,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.590845667529407 + 0.13914275083542296im,-0.4215526925340372 - 0.14865247383649266im,-0.5381159004331018 + 0.17008292398357608im,-0.5376517515456362 - 0.1791930294955235im,-0.3417094064986282 + 0.11885741363817111im","0.07601917866772678 + 0.08374216758000932im,0.0766721978759528 + 0.0814375067805194im,0.0795648194077195 + 0.07291703765297372im,0.07905854610947773 + 0.06363715085944938im,0.07539528044265963 + 0.06546248391414637im","600,600,400,200,600","-0.5236082286650487 + 0.2936736074303747im,-0.5038739430270607 - 0.295910125336103im,-0.41308993763051466 + 0.2871501207553767im,-0.7126920189697395 - 0.2216808947992621im,-0.18522462579496696 + 0.04486044537428367im","-0.5183609415696071 + 0.1573848168042714im,-0.4958008239536387 - 0.15916661134075266im,-0.4610197417824857 + 0.1568014306076656im,-0.6062332246892577 - 0.12708999347946817im,-0.3330645043537818 + 0.04004363333316488im"
5,4,0.7,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.5121260807403462 - 0.10518118802667019im,-0.4799045713248916 + 0.10503705701630679im,-0.5442711813986465 - 0.10096093671951772im,-0.41642226868846716 + 0.08096774481842046im,-0.62169594937681 - 0.031574990329548434im","0.07866725311000655 + 0.0736822372352679im,0.07819296784831464 + 0.07239092811206828im,0.07690314854464977 + 0.0693558449557662im,0.07383727500727325 + 0.06801002978362486im,0.06686982984533257 + 0.06836642284389344im","800,800,800,1200,3000","-0.5981191950020082 - 0.18258826002053424im,-0.3871384237078216 + 0.17553120446760978im,-0.6537601881434931 - 0.14737755906612932im,-0.29458462987838396 + 0.07999685648905204im,-0.7276262786930889 + 0.04163776426113928im","-0.548903270531355 - 0.11163153144407821im,-0.4424557310914381 + 0.10801528487832442im,-0.5817152688176361 - 0.09321072100404834im,-0.3868240336092317 + 0.056866184730267166im,-0.6302438540139139 + 0.010102021977083297im"
5,4,0.8,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.44975675124338826 + 0.041995040372386im,-0.5533378114475946 - 0.03920071689405891im,-0.438248864089713 + 0.029419122291419422im,-0.5715737102429992 - 0.009281428142583335im,-0.42622447317059575 - 0.024311228406094613im","0.0736997288005784 + 0.07259951285555477im,0.07267688919697132 + 0.07161349552146648im,0.07022433764674779 + 0.06972462362694191im,0.0665925858410284 + 0.06861528153543174im,0.06273433995548475 + 0.06816147304757289im","3000,3000,3000,3000,3000","-0.3667316232896775 + 0.058042727710235636im,-0.6377891787575635 - 0.0494747522960593im,-0.352059740068763 + 0.021821315020618303im,-0.6521802277136991 + 0.028440359801522763im,-0.37082628486066016 - 0.09827967939250132im","-0.42450020707135266 + 0.04978000334417123im,-0.5789450494411655 - 0.04480155531853837im,-0.412785974299533 + 0.02850947537111965im,-0.5934588641105631 + 0.0017731475193838366im,-0.415339397954867 - 0.04516599381699827im"
5,4,0.9,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.5490051022648686 + 0.006326597417980082im,-0.45105217653605933 - 0.008925941210099255im,-0.547923432157412 + 0.017046440226045203im,-0.4571973460568968 - 0.03055148370583433im,-0.5293093538832807 + 0.0461323324355652im","0.06777664198973708 + 0.06992288507416036im,0.06647371972709717 + 0.06869850484461133im,0.06442586467303299 + 0.0664292316314949im,0.06238937295365158 + 0.06412633322083983im,0.06076807173635932 + 0.06178687734251233im","3000,3000,3000,3000,2800","-0.5973619501971296 + 0.03510454613297492im,-0.4042142828777443 - 0.04077482719892755im,-0.5890589293821162 + 0.0573481792738296im,-0.42858735709526974 - 0.08232172002080443im,-0.5349872717826369 + 0.10777660055515871im","-0.5655775663846867 + 0.002630487285290089im,-0.43459799075476985 - 0.006447609953892996im,-0.563930234947038 + 0.01810735750585987im,-0.4433576447359816 - 0.03643992196794198im,-0.5380251249730165 + 0.057571863905332116im"
5,4,1.0,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.2,"-0.4835043969178694 - 0.03159272315711158im,-0.5150876145737804 + 0.03267087111647451im,-0.4896995593098853 - 0.03492296406442998im,-0.5016217921770401 + 0.03716115923233636im,-0.5112677766983482 - 0.03712962808698381im","0.06690881369989181 + 0.06894230975864243im,0.06586425507672937 + 0.06726189838023194im,0.06393733726545847 + 0.06447143042761032im,0.06248223398715559 + 0.061221148218202584im,0.06127518581643874 + 0.05857971293405897im","3000,3000,3000,3000,3000","-0.4684286170265924 - 0.07102809118917766im,-0.5281207485172351 + 0.07279923905888634im,-0.4828201840842805 - 0.07710002603703572im,-0.4975010840480999 + 0.08057672221378369im,-0.5310881949767511 - 0.07693582993820411im","-0.4638318749211552 - 0.0313497223343698im,-0.5351424746705191 + 0.03377997645277334im,-0.4709898316445115 - 0.03869038814575698im,-0.5186391532941498 + 0.046106237864168606im,-0.4999302983686626 - 0.04999622892731473im"
