basis_order,basis_field_order,ω,R,particle_radius,c_particle,ρ_particle,separation_ratio,volume_fraction,μ,σ,nb_iterations,μeff,μeff0
5,4,0.05,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.9467538742936423 + 0.034592770658172844im,-0.7158007281401938 - 0.1317940557790839im,-0.007973586015063882 + 0.01844114665857644im,-9.775829689329492e-5 + 0.00020292437956015026im,-9.55472887956232e-7 + 8.213114117965933e-7im","0.04715261258325956 + 0.08520790315840904im,0.137968258752978 + 0.15362644185180654im,0.005304765523993318 + 0.007198084333450745im,7.324984268025753e-5 + 8.709214750601356e-5im,6.788215336707806e-7 + 8.250722957774146e-7im","5000,2100,700,900,1600","-0.9218213981650472 - 0.020677919561218245im,-0.5640456414124182 - 0.2550038891779711im,-0.013762067698196753 + 0.026022577255159374im,-0.0001274546652807699 + 0.0002937856205904464im,-1.1843484364677064e-6 + 1.7764368326134135e-6im","-0.9073448303491369 - 0.06676263482590135im,-0.5298469628723225 - 0.2949911696585221im,-0.01820172947976304 + 0.035092849792915985im,-0.00014853811477054334 + 0.0004989458379495403im,-1.334007739169283e-6 + 5.123163914950709e-6im"
5,4,0.065,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.7956015168940525 - 0.027558813243538458im,-0.4960402126643894 - 0.3948836079537217im,-0.22406755763119446 + 0.039656783091254im,-0.002490955238824593 + 0.0032976481999704437im,-3.431857716710775e-5 + 4.458769314137871e-5im","0.19161917948256676 + 0.17354991959622557im,0.07104834305721995 + 0.06613215430019531im,0.13101264771266397 + 0.13201381024544637im,0.002485549355223016 + 0.0021866837843961097im,3.341886317821584e-5 + 3.214760183052158e-5im","5000,100,5000,1600,1500","-0.7078622092710022 + 0.06623205526393558im,-0.43417293796757156 - 0.35008762270407445im,-0.15145818000325312 - 0.05708059638873419im,-0.0041700635282383965 + 0.0028772616824114788im,-5.22289640479389e-5 + 4.7990892610741756e-5im","-0.6715258492835087 + 0.072893142383127im,-0.41194781292931093 - 0.34272926612247145im,-0.14897607376326558 - 0.07328756575354729im,-0.005138907256310988 + 0.0038296610377905257im,-6.096099284506789e-5 + 7.799111846948343e-5im"
5,4,0.08,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.48214719635258285 + 0.21565752614949737im,-0.5292113319230661 - 0.35610269351971113im,-0.18216851936637307 - 0.22655352239867244im,-0.03156540037223059 + 0.012565142068236617im,-0.00047021583574847494 + 0.00044032370827723873im","0.19982735252227257 + 0.2139445007821074im,0.10141045253336241 + 0.10404414416082197im,0.08814198833331223 + 0.0798329024372301im,0.03367221451023755 + 0.03238461252224674im,0.0005715870987176071 + 0.0005782450350076326im","1600,200,400,5000,2700","-0.6261759533123141 + 0.2505223603412738im,-0.5324613786716956 - 0.3178657204400692im,-0.13286272790794698 - 0.14531434133725749im,-0.01894899624397881 - 0.00824481403771843im,-0.0006747384233867984 - 1.0684030426108827e-5im","-0.6276744335230388 + 0.24440627202155724im,-0.5248418959618488 - 0.3091009766324893im,-0.1322706907126908 - 0.1417822814077045im,-0.01997276584913651 - 0.008179778784578151im,-0.0007518201245948155 + 6.776763039542118e-5im"
5,4,0.095,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.40749479566684377 + 0.357876878813023im,-0.7076879745914486 - 0.22232380039533842im,-0.18546510249533293 - 0.27067120178939985im,-0.045380001999216775 - 0.05889842802743443im,-0.005178264183502387 - 0.0008937284225160827im","0.13152983631054618 + 0.10223795655214622im,0.12352731358343347 + 0.12585689618754647im,0.07123270647206875 + 0.07377393112542574im,0.038335891058841255 + 0.04205972722639894im,0.0071245208721195 + 0.006392406556706718im","200,500,300,1100,5000","-0.5102812312166334 + 0.29721937339413385im,-0.6534619975829125 - 0.28161322054987864im,-0.17225766797655473 - 0.20965986940088535im,-0.028578129762040525 - 0.02946279010800378im,-0.002023648848719393 - 0.0012694646824007619im","-0.5155493009058238 + 0.2863174837028923im,-0.6436310858371318 - 0.2749867713258732im,-0.17677553253464257 - 0.20253946453858382im,-0.031154900574372552 - 0.027291457110636255im,-0.002231917256788001 - 0.0009571106390334789im"
5,4,0.11,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.2793213756535626 + 0.31672571608955036im,-0.854785143813412 - 0.18191611064241792im,-0.2547206753095711 - 0.34670436396995385im,-0.037402515911870146 - 0.09365838965309299im,-0.0051336501433994815 - 0.00923113881086276im","0.12542953823665817 + 0.10976219667356459im,0.08189871597837324 + 0.09295127438940493im,0.06720017386170904 + 0.07187067851907039im,0.028267483488343393 + 0.03243605203208888im,0.006358694161007981 + 0.007447816941601651im","400,500,200,900,2400","-0.3872916358565008 + 0.2738635788788592im,-0.7431473432980719 - 0.2026773141002622im,-0.23509445199442622 - 0.2701385758673424im,-0.042497573409144965 - 0.05845815799102569im,-0.0041420118882195735 - 0.004387190845975958im","-0.39637007532988 + 0.27087118917813996im,-0.7333586365320149 - 0.20305724935782196im,-0.23681882983839847 - 0.26160583521974323im,-0.04554183312609711 - 0.05491246395294724im,-0.004674232961450662 - 0.0037494296690505006im"
5,4,0.125,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.178857018467144 + 0.22897012619032997im,-0.9014200527286864 - 0.07272616301863186im,-0.33191408500337327 - 0.4051338841070264im,-0.04783870453901565 - 0.13275512752847476im,-0.005848750464204488 - 0.017091018274369416im","0.10999066142069992 + 0.09207165233870444im,0.07240858583720894 + 0.09265716646237977im,0.06755345823279617 + 0.044486942559597405im,0.028298882254667004 + 0.035350401722481925im,0.00636376652868403 + 0.008254546417846079im","600,2600,100,600,1900","-0.290909712352012 + 0.19515641272046044im,-0.790760016005974 - 0.09243946404668452im,-0.3195787368895046 - 0.3153730219114956im,-0.06412803484431413 - 0.09708846971305432im,-0.0075718449328486155 - 0.010732543641449196im","-0.30117568892526086 + 0.1978796361175208im,-0.7807296095352299 - 0.09840553218340571im,-0.31784585292838624 - 0.3036984285507258im,-0.06784042069957492 - 0.09059897108492009im,-0.009009258467227346 - 0.009225885661523832im"
5,4,0.14,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.11340255348763797 + 0.10064211964850107im,-0.90166169616757 + 0.06286442602686683im,-0.43711536076962415 - 0.42640269266492226im,-0.07120784945622172 - 0.18350863849889767im,-0.008727458961675117 - 0.03072643116714111im","0.07994004921594874 + 0.09735727526277846im,0.05546426584815512 + 0.09696960773482022im,0.058038175265382186 + 0.04269091789538835im,0.02730092819861577 + 0.03401385890729716im,0.008195772116899987 + 0.010416316969860118im","1500,3800,100,300,1400","-0.24388286141510596 + 0.08509471120772408im,-0.7873754259035273 + 0.02529978827726124im,-0.4181204360976107 - 0.33526400058408673im,-0.09624899623905891 - 0.14280095929902673im,-0.01237432141624339 - 0.021781491361527825im","-0.24819496068535843 + 0.09176976368198332im,-0.7826919194093016 + 0.016310743620661906im,-0.41316703546946776 - 0.32440293872580117im,-0.09970566436358701 - 0.135021043191498im,-0.01625341721986501 - 0.01934521742725802im"
5,4,0.155,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.12485089226544396 - 0.044104039034541374im,-0.8413727283263241 + 0.19746363231441133im,-0.5440399397707971 - 0.4099829587376027im,-0.11162051345137954 - 0.2343714463014256im,-0.014750606884375982 - 0.052134843758407726im","0.07254221192035228 + 0.10921584544530832im,0.05795415624102742 + 0.09879793760726718im,0.07850155829471374 + 0.03754030951888186im,0.023929031907989902 + 0.04187522005987889im,0.007829936288205799 + 0.013798022947473548im","5000,400,100,100,500","-0.237465012611008 - 0.04171759149553664im,-0.7424335915094687 + 0.14123545626420272im,-0.5320418011905642 - 0.3296466606276834im,-0.14209621771135908 - 0.2021300953751457im,-0.0244750222682924 - 0.04276615649598116im","-0.24757530800416372 - 0.023296665438908414im,-0.7387441042671077 + 0.11974108601777506im,-0.5133952490791571 - 0.31617741933689275im,-0.14350311378421443 - 0.18424657018724375im,-0.02748501834311097 - 0.03591537958462774im"
5,4,0.17,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.19384439339667678 - 0.16824115085133567im,-0.7355449253561546 + 0.2691619648195898im,-0.6590083305441806 - 0.3655829189253398im,-0.16800500116567302 - 0.2932260527101599im,-0.025660081629809237 - 0.07823412065943704im","0.07451136036116128 + 0.11036131317271149im,0.07629714419687918 + 0.0970875078517467im,0.0759201969259796 + 0.04471067808535369im,0.034366328904391376 + 0.03847904361311875im,0.009836955865194829 + 0.017907729281828207im","700,200,100,100,300","-0.29756994851320434 - 0.14474322783345883im,-0.6504158480209747 + 0.21485658612457975im,-0.631230353091856 - 0.2816313942183282im,-0.20483169055866243 - 0.2538650702192577im,-0.040447124693771326 - 0.07058682123556387im","-0.29145249156549835 - 0.13381943388556206im,-0.6588691248772864 + 0.2057524577779573im,-0.6180278415364443 - 0.2804656012655043im,-0.20302908084884175 - 0.24076023176039857im,-0.044028599328082424 - 0.06345671193667482im"
5,4,0.185,20.0,1.0,1.0 + 0.0im,0.01,1.001,0.05,"-0.3095694245090754 - 0.24621823632274673im,-0.6034613715308601 + 0.3158328830365842im,-0.7513989135371569 - 0.275440073695772im,-0.25041386386062714 - 0.3408612485847358im,-0.045421281246344695 - 0.11798613072210343im","0.09677349148176603 + 0.11325268493486904im,0.09381829279479845 + 0.08894960654417045im,0.07631286224714268 + 0.06499301556604553im,0.049954937119987525 + 0.04225373762038289im,0.012640657837055726 + 0.025811095633106986im","400,200,100,100,200","-0.39322849944567884 - 0.20445024590764185im,-0.5407095798361388 + 0.23913189745034794im,-0.7057494735774743 - 0.20276693104306484im,-0.2830738013487089 - 0.2947566026992339im,-0.0641713410984376 - 0.10655910988829766im","-0.38270984408606495 - 0.19912466561432926im,-0.5518547574822741 + 0.2361866923481955im,-0.6938181535396948 - 0.2063237719691918im,-0.278109729209396 - 0.2815096620160735im,-0.06819468811139624 - 0.09732576286365476im"
