basis_order,basis_field_order,ω,R,particle_radius,c_particle,ρ_particle,separation_ratio,volume_fraction,μ,σ,nb_iterations,μeff,μeff0
5,4,0.1,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.3288601770233794 + 0.28903522408006854im,-0.8338574778450019 - 0.2059683153243693im,-0.25831168230429247 - 0.31179770933353923im,-0.03617355171771166 - 0.07182937731279736im,-0.005275974411177393 - 0.00821958790916548im","0.15387177102871602 + 0.149518092358193im,0.08655755331563317 + 0.08502825313042817im,0.08656035957717308 + 0.0860767232360052im,0.03332061138876281 + 0.0321398071573433im,0.006251144510997687 + 0.006400650726240191im","600,400,200,1400,2200","-0.38454691405529384 + 0.319052343915146im,-0.764139154664164 - 0.23464973317889976im,-0.21773830123969967 - 0.28331747463054674im,-0.03772678170003021 - 0.05898335336046105im,-0.004059683808036794 - 0.004060645569831858im","-0.3981696604697697 + 0.3123946979290858im,-0.7510648911639859 - 0.23662457146235374im,-0.21587582177368786 - 0.2762091237101403im,-0.038450848116527304 - 0.05724394738907657im,-0.004248858422356641 - 0.0039843650755771965im"
5,4,0.2,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.6948417582523025 - 0.37191311423970563im,-0.20721481589543855 + 0.3068620968453719im,-0.9327998791866752 + 0.025944856288639375im,-0.4965774102070597 - 0.45350461900253614im,-0.09736720266008694 - 0.252735357920409im","0.08666484428428572 + 0.04786718804054116im,0.07682396179334657 + 0.05397437409425967im,0.033655765129699866 + 0.07082446591434877im,0.05401788324784276 + 0.02157142898496301im,0.017887321819420363 + 0.027545868916461335im","200,400,3000,200,200","-0.6702736184273942 - 0.2691797196001055im,-0.25860827138791687 + 0.21638395793604298im,-0.8407488884350777 + 0.04002055182885251im,-0.5050797730947294 - 0.37937309313848655im,-0.13548181683122282 - 0.23003852686249543im","-0.6478127644658042 - 0.267899954892357im,-0.2793696648937751 + 0.2212604874589604im,-0.8323665814271791 + 0.02253936314913896im,-0.48854413024370913 - 0.37081210012784643im,-0.13332967816988786 - 0.2152404670467057im"
5,4,0.3,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.3618976255627306 + 0.23006307074895685im,-0.6858495334879386 - 0.20398051852903024im,-0.21014807915242234 + 0.07118725123691795im,-0.7248313562598823 + 0.2371912411486524im,-0.7435660852637653 - 0.27505877291040964im","0.10650261370538708 + 0.08598378917612592im,0.10173911379638939 + 0.08176498313493832im,0.075634632111949 + 0.08526614896331197im,0.05966219506352906 + 0.0793916844599524im,0.065221460146013 + 0.04501179585151473im","400,400,2400,200,200","-0.34538339671540613 + 0.1506492669791951im,-0.6843637164283514 - 0.12257358404452079im,-0.2619959825798259 + 0.00500734993087605im,-0.6558054900939154 + 0.2182284155202155im,-0.7255775648831354 - 0.2176477941665031im","-0.35445372617788784 + 0.15770102715721962im,-0.6757870740159704 - 0.13016506102640052im,-0.26864499822814575 + 0.015230322953739365im,-0.657140084114657 + 0.20227530035775604im,-0.7032347192869348 - 0.21452342198152413im"
5,4,0.4,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.6152407317569121 - 0.0853153044895737im,-0.3692743548048961 + 0.06881935216279052im,-0.6587664289298505 - 0.011718830697945158im,-0.3503630870909231 - 0.1096616892987349im,-0.4787489225114792 + 0.23218031011646795im","0.09819765680839004 + 0.0971161213689594im,0.0952163990596425 + 0.09353355543879029im,0.08482371789937958 + 0.0897752602539296im,0.07383437220458863 + 0.08330671833272257im,0.07637938022525208 + 0.06386890197814044im","2000,3000,3000,1000,200","-0.6321388148715531 - 0.04503580564309977im,-0.3604954875678717 + 0.02772665547885093im,-0.6486582340173873 + 0.03195123117760494im,-0.39553650230514986 - 0.13200261193798699im,-0.43772490547264076 + 0.18719512427228652im","-0.6238285864235376 - 0.061223335309449im,-0.36691277759067065 + 0.04403078714568682im,-0.6464813610674135 + 0.013801778550679886im,-0.3885503131586163 - 0.11496622154585286im,-0.45714345632173986 + 0.17577167233837268im"
5,4,0.5,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.4169890109258743 - 0.007565946769132126im,-0.5830819000412298 + 0.01751447310992746im,-0.420882790669827 - 0.04267029607885458im,-0.5491290082111371 + 0.08421986002917038im,-0.5217360017618771 - 0.10773725260561667im","0.0944634637959704 + 0.09603723306990243im,0.08952801650680385 + 0.09100694985874305im,0.08199928774019306 + 0.08746977302391327im,0.07874292718078783 + 0.08295114712211112im,0.08091518132592973 + 0.07309662867548956im","3000,3000,3000,1600,800","-0.41547554195070835 - 0.025492336633984165im,-0.5839048473589953 + 0.035330665953261675im,-0.42850777457420397 - 0.06112448891138877im,-0.5352500726709825 + 0.09728834552707716im,-0.5466561221810587 - 0.10479666130426193im","-0.39869026716778133 - 0.015258153447209379im,-0.6000568412902135 + 0.025829289041545477im,-0.4105916130765815 - 0.05896501338211744im,-0.5483461578423898 + 0.10182048228327818im,-0.5405270232691696 - 0.1166342771794235im"
5,4,0.6,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.5350556465204017 + 0.04169757623029796im,-0.46845007030292435 - 0.04092327204364917im,-0.5204615579343129 + 0.05230776545664325im,-0.503502829994016 - 0.055601485813703666im,-0.46362861621170365 + 0.052761634189764484im","0.08744831341791869 + 0.09154444895567669im,0.08063732143795148 + 0.08400823739586992im,0.07713530916321008 + 0.07910831581948992im,0.07647766064112689 + 0.07416609526035486im,0.07570345293674051 + 0.06975104974765238im","3000,3000,3000,2800,2800","-0.5314824911846282 + 0.052398444190412084im,-0.47461391917840223 - 0.054407317856858234im,-0.5137666165795177 + 0.06225766273860559im,-0.5158121157212304 - 0.06462400182604784im,-0.4490176321348625 + 0.05003946475835793im","-0.5484227929296305 + 0.04728508153690865im,-0.4543623689878281 - 0.05359081853240077im,-0.5294148828211359 + 0.06323547403225326im,-0.4998834891237486 - 0.0748843582740451im,-0.4522363758907183 + 0.06133347883098901im"
5,4,0.7,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.5053167012844487 - 0.03499613521371319im,-0.4948839772915899 + 0.03742887808987849im,-0.5164567808928989 - 0.032557532642698894im,-0.47471801509246064 + 0.031435929186375014im,-0.5421457489152361 - 0.01000967729127585im","0.08638293642559143 + 0.08739441920793126im,0.07811462496412606 + 0.07780307938289457im,0.07429078748755762 + 0.07234630247634258im,0.07060774853121234 + 0.06976692438646029im,0.06847207538667148 + 0.06844093788367414im","3000,3000,3000,3000,3000","-0.5134833328224454 - 0.04138150922461875im,-0.4867727438727994 + 0.04139368149220981im,-0.5251557444282025 - 0.037667248787700086im,-0.46552952936303577 + 0.02900286672020434im,-0.5505360485329367 - 0.008019918591767556im","-0.4920738379933122 - 0.04942770566727208im,-0.4988247711102389 + 0.04749571148903283im,-0.5067635091406267 - 0.04996708396405597im,-0.4691296285677274 + 0.04138414951527402im,-0.5443513411024328 - 0.02522509506676871im"
5,4,0.8,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.4795643020059828 + 0.014131120652628486im,-0.5276612135115978 - 0.011715220124885286im,-0.47708168577379034 + 0.009485092038052692im,-0.5314660398395723 + 0.001094083970480911im,-0.47696592974297375 - 0.011666196576096683im","0.0819029026967339 + 0.08034560690202434im,0.0724127213066533 + 0.07174908501234431im,0.06805333386610223 + 0.06787398672728515im,0.06588123410926149 + 0.06604934267929652im,0.06259272828858889 + 0.06510702800034408im","3000,3000,3000,3000,3000","-0.472330507006152 + 0.014318192563191485im,-0.5326821638015379 - 0.01276323937886697im,-0.4693725349883293 + 0.00695046766694604im,-0.5364727315829934 + 0.0028529797614118765im,-0.4716611448977369 - 0.017899052643778807im","-0.4729337543213781 + 0.02851128617421865im,-0.5144935573169278 - 0.027286718924802625im,-0.465443208462023 + 0.022689650356220097im,-0.5258962895513417 - 0.013080894642175716im,-0.4545191686234435 - 0.0038500681574879236im"
5,4,0.9,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.5243315606561189 + 0.0081299706062432im,-0.4841878646996442 - 0.007225916573205085im,-0.522474816753398 + 0.011798634861876796im,-0.48905022428005895 - 0.016978252444371036im,-0.5120973425776659 + 0.022081225372195434im","0.07930206526802011 + 0.0786441206569496im,0.06911302815666419 + 0.06814657974898661im,0.06544887132680496 + 0.06515349607153897im,0.06289434975257602 + 0.06271368981021555im,0.06023195641401507 + 0.06168851448973967im","3000,3000,3000,3000,3000","-0.5266922031958783 + 0.009463919797197086im,-0.4792314384635395 - 0.012082348671227107im,-0.5242384261940713 + 0.014405775142120852im,-0.4860894806590641 - 0.021366412297638998im,-0.511266888509665 + 0.02489966221429066im","-0.5139657102375931 - 0.0017153428923354025im,-0.46139356559146466 + 0.008764548624076014im,-0.5146882440839576 + 0.00453819877476816im,-0.4608691971756427 - 0.0038016305530510475im,-0.5079031254249999 + 0.022931362828073374im"
5,4,1.0,20.0,1.0,1.0 + 0.0im,0.01,1.0,0.1,"-0.5008184321785731 - 0.0160003925709185im,-0.5073129452094018 + 0.015882259202195284im,-0.5023133142343347 - 0.018673931848903993im,-0.5025013835016178 + 0.01732070821841041im,-0.5134785956768886 - 0.016522504239701086im","0.07437111196202932 + 0.07570663281599915im,0.06618674154048318 + 0.06511391528033751im,0.06247945145302249 + 0.06168094176151644im,0.0602871983257341 + 0.06081823651099958im,0.058766230204059605 + 0.05907532951337641im","3000,3000,3000,3000,3000","-0.4972727965024319 - 0.021506291970389568im,-0.5095402797034385 + 0.018612332867745864im,-0.5014255361487097 - 0.022631533727336017im,-0.5014267207409755 + 0.019255432726874615im,-0.5141588844995602 - 0.021179032827972066im","-0.46312862507128577 + 0.0027939098463527503im,-0.49804505606149496 + 0.023936126079211053im,-0.46510249641784873 - 0.0007144114567868098im,-0.49146108106205233 + 0.030651426810890826im,-0.4749543771946568 - 0.00747336473046099im"
